HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,WinLogon,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\Winlogon,AutoAdminLogon,RegSz,1,,,"Displays whether the system will automatically login a user as Admin, 0 = Disabled, 1 = Enabled",False,True,2025-02-04 13:16:39.7580185,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,WinLogon,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\Winlogon,DefaultUserName,RegSz,User,,,Displays the default username the system will log in as,False,True,2025-02-04 13:16:39.7580185,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,LogonUI,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Authentication\LogonUI,LastLoggedOnUser,RegSz,.\User,,,Displays the last logged on SAM user,False,True,2025-02-04 13:16:39.7736185,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,LogonUI,System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Authentication\LogonUI,LastLoggedOnSAMUser,RegSz,WIN-TBJN73HR3NM\User,,,Displays the last logged on user,False,True,2025-02-04 13:16:39.7736185,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,SystemRoot,RegSz,C:\Windows,,,Current location of %SystemRoot% Environment Variable,False,True,2025-02-04 13:16:39.2120175,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,RegisteredOwner,RegSz,Windows User,,,Current registered owner,False,True,2025-02-04 13:16:39.2120175,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,RegisteredOrganization,RegSz,,,,Current registered organization,False,True,2025-02-04 13:16:39.2120175,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,ProductName,RegSz,Windows 7 Professional,,,Current OS name,False,True,2025-02-04 13:16:39.2120175,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,InstallDate,RegDword,2025-02-04 13:16:39.0000000,,,Current OS install date,False,True,2025-02-04 13:16:39.2120175,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,System Info (Current),System Info,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion,CurrentBuild,RegSz,7601,,,Current OS build information,False,True,2025-02-04 13:16:39.2120175,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,User Accounts (SOFTWARE),User Accounts,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\ProfileList,Multiple,(plugin),KeyName: S-1-5-18,Timestamp: 2009-07-14 04:53:25.7804181,ProfileImagePath: %systemroot%\system32\config\systemprofile,User accounts in SOFTWARE hive,False,True,2025-02-04 13:16:39.8048186,./recmd_out/20250224111435\20250224111435_ProfileList_./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg.csv
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,User Accounts (SOFTWARE),User Accounts,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\ProfileList,Multiple,(plugin),KeyName: S-1-5-21-4155376174-509444641-1072743315-1000,Timestamp: 2025-02-04 16:25:27.2569115,ProfileImagePath: C:\Users\User,User accounts in SOFTWARE hive,False,True,2025-02-04 13:16:39.8048186,./recmd_out/20250224111435\20250224111435_ProfileList_./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg.csv
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Run (SYSTEM),Autoruns,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Run,NIS-DF-2425T2-Group5,RegSz,"Hello, P1kasaur!",,,Program execution upon successful user logon,False,True,2025-02-04 13:20:46.5078589,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,RunOnce (SYSTEM),Autoruns,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\RunOnce,,,,,,Program execution upon successful user logon,False,True,2025-02-04 13:16:42.1604227,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Kernel-WHEA/Errors,Enabled,RegDword,1,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1704188,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Kernel-WHEA/Operational,Enabled,RegDword,1,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1704188,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-CodeIntegrity/Operational,Enabled,RegDword,1,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1548187,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Diagnosis-PCW/Operational,Enabled,RegDword,1,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1548187,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Diagnosis-PCW/Analytic,Enabled,RegDword,0,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1548187,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-WMI-Activity/Trace,Enabled,RegDword,0,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1704188,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Kernel-WDI/Analytic,Enabled,RegDword,0,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1704188,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Kernel-WDI/Debug,Enabled,RegDword,0,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1704188,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Kernel-WDI/Operational,Enabled,RegDword,1,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1704188,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Kernel-Process/Analytic,Enabled,RegDword,0,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1704188,
./registry_dir/registry.0xfffff8a0000ef010.SOFTWARE.reg,Software,Event Logs Logging Status,Event Logs,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Kernel-Registry/Analytic,Enabled,RegDword,0,,,"Displays the status of Windows Event Log Channels (Key Path) on this system, 0 = Disabled, 1 - Enabled",True,True,2009-07-14 04:53:26.1704188,
